Занимаемая должность;Тип должности
Проводник на водном транспорте;не медицинская должность
Проводник на геологических поисках и съемке;не медицинская должность
Проводник пассажирского вагона;не медицинская должность
Проводник по сопровождению груза и спецвагонов;не медицинская должность
Проводник по сопровождению грузов и спецвагонов;не медицинская должность
Проводник по сопровождению животных;не медицинская должность
Проводник по сопровождению локомотивов и пассажирских вагонов в нерабочем состоянии;не медицинская должность
Проводник-электромонтер почтовых вагонов;не медицинская должность
Провязывальщик мотков;не медицинская должность
Программист;не медицинская должность
Продавец непродовольственных товаров;не медицинская должность
продавец оптики;не медицинская должность
Продавец продовольственных товаров;не медицинская должность
Прожигальщик медицинских изделий;не медицинская должность
Производитель работ (прораб), включая старшего;не медицинская должность
Прокальщик;не медицинская должность
Прокальщик зерна и шлифпорошков;не медицинская должность
Прокальщик на печах;не медицинская должность
Прокальщик порошка для кабеля;не медицинская должность
Прокальщик электроугольного производства;не медицинская должность
Прокатчик горячего металла;не медицинская должность
Прокатчик кож;не медицинская должность
Прокатчик пленки;не медицинская должность
Прокатчик слюды;не медицинская должность
Прокатчик фарфоровых труб;не медицинская должность
Прокатчик шаров;не медицинская должность
Проклеивальщик;не медицинская должность
Проклеивальщик ватилина;не медицинская должность
Промазчик форм;не медицинская должность
Промывальщик волокнистых материалов;не медицинская должность
Промывальщик геологических проб;не медицинская должность
Промывальщик котлов паровозов;не медицинская должность
Промывальщик сырья;не медицинская должность
Промывальщик технических сукон;не медицинская должность
Промывальщик-пропарщик цистерн;не медицинская должность
Промывщик бриллиантов и алмазов;не медицинская должность
Промывщик гидроксала;не медицинская должность
Промывщик деталей и узлов;не медицинская должность
Промывщик камней;не медицинская должность
Промывщик оптических деталей;не медицинская должность
Промывщик целлюлозы;не медицинская должность
Промышленный альпинист;не медицинская должность
Пропарщик;не медицинская должность
Пропарщик изделий;не медицинская должность
Пропарщик лао-ча;не медицинская должность
Пропарщик-проварщик древесины;не медицинская должность
Пропитчик;не медицинская должность
Пропитчик бумаги и бумажных изделий;не медицинская должность
Пропитчик бумаги и тканей;не медицинская должность
Пропитчик кабелей и проводов;не медицинская должность
Пропитчик карандашных дощечек;не медицинская должность
Пропитчик пиломатериалов и изделий из древесины;не медицинская должность
Пропитчик по огнезащитной пропитке;не медицинская должность
Пропитчик слюдопластовых материалов;не медицинская должность
Пропитчик стержней;не медицинская должность
Пропитчик шпона;не медицинская должность
Пропитчик электротехнических изделий;не медицинская должность
Пропитывальщик пожарных рукавов;не медицинская должность
Просевальщик (рассевальщик);не медицинская должность
Просевальщик материалов;не медицинская должность
Просевальщик порошков;не медицинская должность
Просевальщик сыпучих материалов;не медицинская должность
Просевальщик технической продукции;не медицинская должность
Просевальщик фарматуры и отходов;не медицинская должность
Просевальщик фтористого натрия и извести-пушонки;не медицинская должность
Просевщик бисера;не медицинская должность
Просевщик порошков на механических ситах;не медицинская должность
Просеивальщик;не медицинская должность
Просмотрщик продукции медицинского назначения;не медицинская должность
Протирщик изделий;не медицинская должность
Протирщик стеарата кальция;не медицинская должность
Протирщик часовых стекол;не медицинская должность
Протирщик электровакуумных приборов;не медицинская должность
Протравщик хлопковых семян;не медицинская должность
Протравщик шкурок;не медицинская должность
Протяжчик;не медицинская должность
Протяжчик штурвалов;не медицинская должность
профессор;не медицинская должность
Профилировщик;не медицинская должность
Профконсультант;не медицинская должность
Профконсультант I категории;не медицинская должность
Профконсультант II категории;не медицинская должность
Проходчик;не медицинская должность
Проходчик горных склонов;не медицинская должность
Проходчик на поверхностных работах;не медицинская должность
Проявщик кинопленки;не медицинская должность
Пружинщик;не медицинская должность
Прядильщик;не медицинская должность
Психолог;не медицинская должность
Психолог I категории;не медицинская должность
Психолог II категории;не медицинская должность
Птицевод;не медицинская должность
Публикатор;не медицинская должность
Пудровщик;не медицинская должность
Пультовщик конвертера;не медицинская должность
Пультовщик электроплавильной печи;не медицинская должность
Путевой рабочий на озере;не медицинская должность
Путевой рабочий тральной бригады;не медицинская должность
Пчеловод;не медицинская должность
Пятновыводчик;не медицинская должность
Работник контрактной службы;не медицинская должность
Работник по эксплуатации оборудования, работающего под избыточным давлением, котлов и трубопроводов пара;не медицинская должность
Рабочий береговой;не медицинская должность
Рабочий бюро бытовых услуг;не медицинская должность
Рабочий зеленого строительства;не медицинская должность
Рабочий зеленого хозяйства;не медицинская должность
Рабочий карты намыва;не медицинская должность
Рабочий на геологических работах;не медицинская должность
Рабочий на геофизических работах;не медицинская должность
Рабочий на подаче химикатов;не медицинская должность
Рабочий плодоовощного хранилища;не медицинская должность
Рабочий по благоустройству населенных пунктов;не медицинская должность
Рабочий по комплексному обслуживанию и ремонту зданий;не медицинская должность
Рабочий по обслуживанию в бане;не медицинская должность
Рабочий по обслуживанию локомотива (группы локомотивов) на железнодорожных путях без передвижения;не медицинская должность
Рабочий по уходу за животными;не медицинская должность
Рабочий производственных бань;не медицинская должность
Рабочий противолавинной защиты;не медицинская должность
Рабочий ритуальных услуг;не медицинская должность
Рабочий специальных установок;не медицинская должность
Радиомеханик по обслуживанию и ремонту радиотелевизионной аппаратуры;не медицинская должность
Радиомеханик по ремонту радиоэлектронного оборудования;не медицинская должность
Радиомеханик по ремонту радиоэлектронной аппаратуры и приборов;не медицинская должность
Радиомонтажник судовой;не медицинская должность
Радиомонтер приемных телевизионных антенн;не медицинская должность
Радиооператор;не медицинская должность
Радист-радиолокаторщик;не медицинская должность
Разбивщик отходов;не медицинская должность
Разбивщик сырья;не медицинская должность
Разбивщик ферросплавов;не медицинская должность
Разбортовщик винипластовых и полиэтиленовых труб;не медицинская должность
Разборщик асбестоцементных изделий;не медицинская должность
Разборщик оптического стекла и кристаллов;не медицинская должность
Разборщик пакетов;не медицинская должность
Разборщик печей сопротивления;не медицинская должность
Разборщик субпродуктов;не медицинская должность
Развальцовщик стекла;не медицинская должность
Разварщик саломаса;не медицинская должность
Разварщик силикатной глыбы;не медицинская должность
Разведчик объектов природы;не медицинская должность
Развесчик химического сырья;не медицинская должность
Разводчик кож;не медицинская должность
Разгрузчик диффузоров;не медицинская должность
Раздатчик взрывчатых материалов;не медицинская должность
Раздатчик нефтепродуктов;не медицинская должность
Раздел «сварочные работы»;не медицинская должность
Раздельщик жгутов стекловолокна;не медицинская должность
Раздельщик лома и отходов металла;не медицинская должность
Раздельщик титановой губки;не медицинская должность
Раздирщик пакетов;не медицинская должность
Разливальщик-загладчик пеномассы;не медицинская должность
Разливщик ртути;не медицинская должность
Разливщик стали;не медицинская должность
Разливщик стерильных растворов;не медицинская должность
Разливщик химической продукции;не медицинская должность
Разливщик цветных металлов и сплавов;не медицинская должность
Разметчик;не медицинская должность
Разметчик алмазов;не медицинская должность
Разметчик деталей и материалов;не медицинская должность
Разметчик плазовый;не медицинская должность
Разметчик по дереву;не медицинская должность
Разметчик проката;не медицинская должность
Разметчик пьезокварцевого сырья;не медицинская должность
Разметчик стекла и стеклоизделий;не медицинская должность
Разметчик судовой;не медицинская должность
Разметчик хлыстов;не медицинская должность
Размольщик;не медицинская должность
Размольщик (мельник) кости-паренки;не медицинская должность
Размольщик вирусной ткани и бактерийной массы;не медицинская должность
Размольщик древесины;не медицинская должность
Размольщик карандашной массы;не медицинская должность
Размольщик роговой стружки;не медицинская должность
Размольщик-дозировщик угольных масс;не медицинская должность
Размотчик;не медицинская должность
Размотчик лент;не медицинская должность
Размотчик стеклонити;не медицинская должность
Разрабатывальщик отходов;не медицинская должность
Разрабатывальщик сырья;не медицинская должность
Разрисовщик игрушек;не медицинская должность
Разрисовщик изделий из кожи;не медицинская должность
Разрисовщик кожгалантерейных изделий;не медицинская должность
Разрисовщик моделей;не медицинская должность
Разрисовщик обоев;не медицинская должность
Разрисовщик по стеклу;не медицинская должность
Разрисовщик ткани;не медицинская должность
Разрубщик аккумуляторных пластин;не медицинская должность
Разрубщик мяса;не медицинская должность
Разрубщик мяса на рынке;не медицинская должность
Разрыхлитель табака;не медицинская должность
Раймовщик дистилляционных печей;не медицинская должность
Раклист;не медицинская должность
Рамповщик;не медицинская должность
Рамщик;не медицинская должность
Раскатчик;не медицинская должность
Раскатчик стержней;не медицинская должность
Раскатчик ткани;не медицинская должность
Раскатчик-сортировщик бумаги;не медицинская должность
Раскладчик лекал;не медицинская должность
Раскладчик листового табака;не медицинская должность
Раскладчик сырья;не медицинская должность
Раскольщик алмазов;не медицинская должность
Раскольщик блоков;не медицинская должность
Раскрасчик диапозитивов и фотоотпечатков;не медицинская должность
Раскрасчик законтурованных рисунков;не медицинская должность
Раскрасчик изделий;не медицинская должность
Раскройщик;не медицинская должность
Раскройщик бересты;не медицинская должность
Раскройщик кожевенного сырья;не медицинская должность
Раскройщик кожи и меха;не медицинская должность
Раскройщик листового материала;не медицинская должность
Раскройщик материалов;не медицинская должность
Раскройщик пленки;не медицинская должность
Раскройщик стекловолокнистых материалов;не медицинская должность
Раскройщик шлифовального полотна;не медицинская должность
Раскряжевщик;не медицинская должность
Распаковщик сырья;не медицинская должность
Распарщик целлулоидных пластин;не медицинская должность
Распиловщик алмазов;не медицинская должность
Распиловщик водорастворимых кристаллов;не медицинская должность
Распиловщик войлока;не медицинская должность
Распиловщик камня;не медицинская должность
Распиловщик кости и рога;не медицинская должность
Распиловщик меха и войлока;не медицинская должность
Распиловщик мясопродуктов;не медицинская должность
Распиловщик необожженных кругов и брусков;не медицинская должность
Распиловщик оптического стекла;не медицинская должность
Расправщик;не медицинская должность
Расправщик авровых основ;не медицинская должность
Расправщик войлочных изделий;не медицинская должность
Распределитель работ;не медицинская должность
Распределитель силикатной массы;не медицинская должность
Распылитель газопоглотителя;не медицинская должность
Рассевальщик шлифзерна и шлифпорошков;не медицинская должность
Рассевщик;не медицинская должность
Растворщик реагентов;не медицинская должность
Растильщик грибницы;не медицинская должность
Растяжчик кож и овчин на рамы;не медицинская должность
Растяжчик кожаных полос;не медицинская должность
Растяжчик металлосеток;не медицинская должность
Растяжчик секций и катушек электрических машин;не медицинская должность
Расфасовщик алмазов и алмазных порошков;не медицинская должность
Расфасовщик ваты;не медицинская должность
Расфасовщик мясопродуктов;не медицинская должность
Расфасовщик нюхательной махорки и табака;не медицинская должность
Расфасовщик табака;не медицинская должность
Расформовщик;не медицинская должность
Расчесывальщик меховых шкурок;не медицинская должность
Расшлифовщик фильеров;не медицинская должность
Расщепляльщик синтетических нитей;не медицинская должность
Рафинировщик;не медицинская должность
Рафинировщик ртути;не медицинская должность
Реактивщик;не медицинская должность
Реакторщик;не медицинская должность
Реакторщик химочистки рассола;не медицинская должность
Регенераторщик;не медицинская должность
Регенераторщик абразивов;не медицинская должность
Регенераторщик драгоценных металлов;не медицинская должность
Регенераторщик отработанного масла;не медицинская должность
Регенераторщик сернистой кислоты;не медицинская должность
Регенераторщик слюды;не медицинская должность
Регистратор;не медицинская должность
Регулировщик асбестообогатительного оборудования;не медицинская должность
Регулировщик композиции и концентрации массы;не медицинская должность
Регулировщик пианино и роялей;не медицинская должность
Регулировщик подачи воды;не медицинская должность
Регулировщик полей фильтрации;не медицинская должность
Регулировщик работы скважин;не медицинская должность
Регулировщик радиоэлектронной аппаратуры и приборов;не медицинская должность
Регулировщик скорости движения вагонов;не медицинская должность
Регулировщик хвостового хозяйства;не медицинская должность
Регулировщик электродов;не медицинская должность
Регулировщик язычковых инструментов;не медицинская должность
Регулировщик-градуировщик электроизмерительных приборов;не медицинская должность
Регулировщик-настройщик тренажеров;не медицинская должность
редактор;не медицинская должность
редактор I категории;не медицинская должность
редактор II категории;не медицинская должность
Редуцировщик игл;не медицинская должность
Редуцировщик трубчатых электронагревателей;не медицинская должность
Режиссер видеомонтажа;не медицинская должность
Режиссер монтажа;не медицинская должность
Режиссер нелинейного монтажа;не медицинская должность
Резчик алмазов;не медицинская должность
Резчик ампул и трубок;не медицинская должность
Резчик асбестоцементных и асбестосилитовых изделий;не медицинская должность
Резчик брикета и заготовок;не медицинская должность
Резчик бумаги, картона и целлюлозы;не медицинская должность
Резчик в производстве изделий электронной техники;не медицинская должность
Резчик горячего металла;не медицинская должность
Резчик декалькоманий;не медицинская должность
Резчик деревянного шрифта;не медицинская должность
Резчик заготовок и изделий из пластических масс;не медицинская должность
Резчик керамических и фарфоровых изделий;не медицинская должность
Резчик магнитных лент;не медицинская должность
Резчик материалов и изделий;не медицинская должность
Резчик материалов кабельного производства;не медицинская должность
Резчик металла на ножницах и прессах;не медицинская должность
Резчик металлического натрия;не медицинская должность
Резчик минералов;не медицинская должность
Резчик мясопродуктов;не медицинская должность
Резчик на микротоме;не медицинская должность
Резчик на огне;не медицинская должность
Резчик на отжимной машине;не медицинская должность
Резчик на пилах, ножовках и станках;не медицинская должность
Резчик неэмульсированных пленок;не медицинская должность
Резчик нитей стержней;не медицинская должность
Резчик пеноблоков;не медицинская должность
Резчик пищевой продукции;не медицинская должность
Резчик по дереву и бересте;не медицинская должность
Резчик по камню;не медицинская должность
Резчик по кости и рогу;не медицинская должность
Резчик пробковых изделий;не медицинская должность
Резчик пряжи;не медицинская должность
Резчик радиокерамики и ферритов;не медицинская должность
Резчик свеклы;не медицинская должность
Резчик слюды;не медицинская должность
Резчик стекла;не медицинская должность
Резчик стекловолокнистых и стеклопластиковых материалов;не медицинская должность
Резчик стеклоизделий;не медицинская должность
Резчик строительных изделий и материалов;не медицинская должность
Резчик сусальных металлов;не медицинская должность
Резчик сырья;не медицинская должность
Резчик траншей;не медицинская должность
Резчик труб и заготовок;не медицинская должность
Резчик химического волокна;не медицинская должность
Резчик холодного металла;не медицинская должность
Резчик шлифовальной шкурки;не медицинская должность
Резчик шпона и облицовочных материалов;не медицинская должность
Резчик эластомеров и резины;не медицинская должность
Резьбонарезчик деталей часов;не медицинская должность
Резьбонарезчик на специальных станках;не медицинская должность
Резьбофрезеровщик;не медицинская должность
Резьбошлифовщик;не медицинская должность
Реквизитор;не медицинская должность
Рекуператорщик;не медицинская должность
Рекуператорщик алмазов;не медицинская должность
Ремонтировщик кожгалантерейных изделий;не медицинская должность
Ремонтировщик обувных колодок;не медицинская должность
Ремонтировщик плоскостных спортивных сооружений;не медицинская должность
Ремонтировщик полимеризационного инвентаря;не медицинская должность
Ремонтировщик резиновых изделий;не медицинская должность
Ремонтировщик респираторов и противогазов;не медицинская должность
Ремонтировщик сетеизделий;не медицинская должность
Ремонтировщик шпуль;не медицинская должность
Ремонтник индивидуальных средств противохимической защиты;не медицинская должность
Ремонтник искусственных сооружений;не медицинская должность
Ремонтник противоминного оружия и вооружения;не медицинская должность
Ремонтник технологической оснастки;не медицинская должность
Ремюер;не медицинская должность
Рентгенгониометрист;не медицинская должность
рентгенолаборант;медицинская должность
Рентгеномеханик;не медицинская должность
Репульпаторщик;не медицинская должность
Рерайтер;не медицинская должность
Рессорщик на обработке горячего металла;не медицинская должность
Реставратор архивных и библиотечных материалов;не медицинская должность
Реставратор готовой продукции;не медицинская должность
Реставратор декоративно-художественных покрасок;не медицинская должность
Реставратор декоративных штукатурок и лепных изделий;не медицинская должность
Реставратор духовых инструментов;не медицинская должность
Реставратор клавишных инструментов;не медицинская должность
Реставратор кровельных покрытий;не медицинская должность
Реставратор металлических конструкций;не медицинская должность
Реставратор памятников деревянного зодчества;не медицинская должность
Реставратор памятников каменного зодчества;не медицинская должность
Реставратор произведений из дерева;не медицинская должность
Реставратор смычковых и щипковых инструментов;не медицинская должность
Реставратор тканей, гобеленов и ковров;не медицинская должность
Реставратор ударных инструментов;не медицинская должность
Реставратор фильмовых материалов;не медицинская должность
Реставратор фильмокопий;не медицинская должность
Реставратор художественных изделий и декоративных предметов;не медицинская должность
Реставратор язычковых инструментов;не медицинская должность
Ретушер;не медицинская должность
Ретушер прецизионной фотолитографии;не медицинская должность
Ретушер субтитров;не медицинская должность
Рецептурщик;не медицинская должность
Речной рабочий на подводно-технических, габионных и фашинных работах, выполняемых с поверхности;не медицинская должность
Речной рабочий на эксплуатации и обслуживании несамоходных плавучих снарядов и других плавучих средств;не медицинская должность
Рисовальщик светящимися красками;не медицинская должность
Рисовальщик эмалями;не медицинская должность
Рифлевщик;не медицинская должность
Рихтовщик игольно-платинных изделий;не медицинская должность
Рихтовщик кузовов;не медицинская должность
Рубщик проволоки;не медицинская должность
Рубщик судовой;не медицинская должность
Руководитель;не медицинская должность
руководитель (директор, заведующий, начальник, управляющий) обособленного структурного подразделения;не медицинская должность
руководитель (директор, заведующий, начальник, управляющий) структурного подразделения;АУП
руководитель (заведующий) учебной (производственной) практики;не медицинская должность
Руководитель административно-хозяйственного подразделения;не медицинская должность
Руководитель бригады;не медицинская должность
Руководитель группы;не медицинская должность
Руководитель группы инвентаризации строений и сооружений;не медицинская должность
Руководитель группы управления базами данных;не медицинская должность
Руководитель контрактной службы;не медицинская должность
Руководитель отдела программного обеспечения;не медицинская должность
Руководитель отдела управления инфраструктурой;не медицинская должность
Руководитель подразделения;не медицинская должность
Руководитель подразделения по управлению корпоративной недвижимостью;не медицинская должность
Руководитель службы пожарной профилактики организации;не медицинская должность
Руководитель структурного подразделения;не медицинская должность
Руководитель транспортного подразделения;не медицинская должность
Руководитель туристской группы;не медицинская должность
руководитель физического воспитания;не медицинская должность
Рулевой;не медицинская должность
Рыбак прибрежного лова;не медицинская должность
Рыбовод;не медицинская должность
Садовник;не медицинская должность
Садчик;не медицинская должность
Садчик в печи и на туннельные вагоны;не медицинская должность
Садчик камня в обжигательные печи;не медицинская должность
санитар;медицинская должность
санитар (мойщик);не медицинская должность
Санитар ветеринарный;не медицинская должность
санитар-водитель;медицинская должность
Санитарка;медицинская должность
Сатураторщик;не медицинская должность
Сборщик;не медицинская должность
Сборщик алмазного инструмента;не медицинская должность
Сборщик асбометаллических листов;не медицинская должность
Сборщик аудио- и видеокассет для магнитофонов;не медицинская должность
Сборщик баллонов;не медицинская должность
Сборщик безбандажных шин;не медицинская должность
Сборщик боеприпасов;не медицинская должность
Сборщик браслетов и брекеров;не медицинская должность
Сборщик бумажных изделий;не медицинская должность
Сборщик влагопоглотителей;не медицинская должность
Сборщик восстанавливаемых покрышек;не медицинская должность
Сборщик выпрямителей;не медицинская должность
Сборщик гальванических элементов и батарей;не медицинская должность
Сборщик деревянных судов;не медицинская должность
Сборщик деталей и изделий;не медицинская должность
Сборщик духовых инструментов;не медицинская должность
Сборщик железобетонных судов;не медицинская должность
Сборщик игрушек;не медицинская должность
Сборщик изделий;не медицинская должность
Сборщик изделий и конструкций;не медицинская должность
Сборщик изделий из дерева и папье-маше;не медицинская должность
Сборщик изделий из древесины;не медицинская должность
Сборщик изделий из кожи и меха;не медицинская должность
Сборщик изделий из пластмасс;не медицинская должность
Сборщик изделий из стеклопластиков и органического стекла;не медицинская должность
Сборщик изделий из янтаря;не медицинская должность
Сборщик изделий электронной техники;не медицинская должность
Сборщик инъекционных игл;не медицинская должность
Сборщик кожгалантерейных изделий;не медицинская должность
Сборщик корпусов металлических судов;не медицинская должность
Сборщик мокрых отходов;не медицинская должность
