Занимаемая должность;Тип должности
Аппаратчик по выращиванию монокристаллов и лент;не медицинская должность
Аппаратчик по выщелачиванию фибры;не медицинская должность
Аппаратчик по загрузке пека;не медицинская должность
Аппаратчик по изготовлению клеевой нити;не медицинская должность
Аппаратчик по изготовлению шлифовальной шкурки;не медицинская должность
Аппаратчик по насасыванию диафрагм;не медицинская должность
Аппаратчик по обработке и купажированию уксуса;не медицинская должность
Аппаратчик по обработке сырого пектина;не медицинская должность
Аппаратчик по обслуживанию рекуператоров и системы охлаждения;не медицинская должность
Аппаратчик по окислению кадмия;не медицинская должность
Аппаратчик по получению высокочистых материалов для полупроводникового производства;не медицинская должность
Аппаратчик по приготовлению глинозема;не медицинская должность
Аппаратчик по приготовлению майонеза;не медицинская должность
Аппаратчик по приготовлению химреагентов;не медицинская должность
Аппаратчик по производству ванадия;не медицинская должность
Аппаратчик по производству и химической очистке полупроводниковых материалов;не медицинская должность
Аппаратчик по производству синтетических клеящих смол;не медицинская должность
Аппаратчик по производству сухой спичечной соломки;не медицинская должность
Аппаратчик по разделению редкоземельных элементов;не медицинская должность
Аппаратчик по регенерации селена;не медицинская должность
Аппаратчик по регенерации серы;не медицинская должность
Аппаратчик по сбору и обогащению шлама;не медицинская должность
Аппаратчик по сушке торфа;не медицинская должность
Аппаратчик по химической обработке полупроводниковых материалов;не медицинская должность
Аппаратчик подготовки сырья и отпуска полуфабрикатов и продукции;не медицинская должность
Аппаратчик поликонденсации;не медицинская должность
Аппаратчик полимеризации;не медицинская должность
Аппаратчик получения высокотемпературного пека;не медицинская должность
Аппаратчик получения высокочистых соединений щелочных металлов;не медицинская должность
Аппаратчик получения гексахлорбензола;не медицинская должность
Аппаратчик получения гидроокисных соединений щелочных металлов;не медицинская должность
Аппаратчик получения декстрина;не медицинская должность
Аппаратчик получения закиси азота;не медицинская должность
Аппаратчик получения зародышей двуокиси титана;не медицинская должность
Аппаратчик получения комплексных соединений;не медицинская должность
Аппаратчик получения кукурузного масла;не медицинская должность
Аппаратчик получения кумароновой смолы;не медицинская должность
Аппаратчик получения лаков и эмалей на полимеризационных смолах;не медицинская должность
Аппаратчик получения метатитановой кислоты;не медицинская должность
Аппаратчик получения микронизированных материалов;не медицинская должность
Аппаратчик получения нитролигнина;не медицинская должность
Аппаратчик получения окислов металлов;не медицинская должность
Аппаратчик получения пата;не медицинская должность
Аппаратчик получения полых микросфер;не медицинская должность
Аппаратчик получения сернистой кислоты;не медицинская должность
Аппаратчик получения сероуглерода-сырца;не медицинская должность
Аппаратчик получения сильнодействующих алкалоидов и кристаллических гликозидов;не медицинская должность
Аппаратчик получения синтетических гормонов;не медицинская должность
Аппаратчик получения сиропов;не медицинская должность
Аппаратчик получения сульфата аммония;не медицинская должность
Аппаратчик получения сухих кормов;не медицинская должность
Аппаратчик получения сухого крахмала;не медицинская должность
Аппаратчик получения сырого бензола;не медицинская должность
Аппаратчик получения сырого крахмала;не медицинская должность
Аппаратчик получения технического углерода;не медицинская должность
Аппаратчик получения трихлорпропана и дихлоргидрина;не медицинская должность
Аппаратчик получения углекислоты;не медицинская должность
Аппаратчик получения фосфатидов;не медицинская должность
Аппаратчик получения фотогипосульфита;не медицинская должность
Аппаратчик получения фурановых соединений;не медицинская должность
Аппаратчик получения хлорного железа;не медицинская должность
Аппаратчик получения чистого антрацена;не медицинская должность
Аппаратчик получения экструзионных продуктов;не медицинская должность
Аппаратчик приготовления амальгамы натрия;не медицинская должность
Аппаратчик приготовления брикетной смеси;не медицинская должность
Аппаратчик приготовления высокожирных эмульсий;не медицинская должность
Аппаратчик приготовления дубильных экстрактов;не медицинская должность
Аппаратчик приготовления замесов;не медицинская должность
Аппаратчик приготовления зубоврачебных материалов;не медицинская должность
Аппаратчик приготовления инвертного сиропа;не медицинская должность
Аппаратчик приготовления каменноугольного лака;не медицинская должность
Аппаратчик приготовления катализатора;не медицинская должность
Аппаратчик приготовления компаундов;не медицинская должность
Аппаратчик приготовления косметических средств;не медицинская должность
Аппаратчик приготовления кулинарных и кондитерских жиров;не медицинская должность
Аппаратчик приготовления лака;не медицинская должность
Аппаратчик приготовления латексной смеси;не медицинская должность
Аппаратчик приготовления медицинских масс и мазей;не медицинская должность
Аппаратчик приготовления мездрового клея;не медицинская должность
Аппаратчик приготовления мыльного клея;не медицинская должность
