id|name|parent_id|sort|normative|form_30|sert|actual|comment|p_group|data_end
298|Старший вожатый|280|467|2|||t|""|f|
299|Старший воспитатель|280|468|2|||t|""|f|
300|Старший инструктор-методист|280|469|2|||t|""|f|
301|Старший методист|280|470|2|||t|""|f|
302|Старший педагог дополнительного образования|280|471|2|||t|""|f|
303|Старший тренер-преподаватель|280|472|2|||t|""|f|
304|Тренер-преподаватель|280|473|2|||t|""|f|
305|Тьютор|280|474|2|||t|""|f|
306|Учитель|280|475|2|||t|""|f|
307|Учитель-дефектолог|280|476|2|||t|""|f|
308|Учитель-логопед|280|477|2|||t|""|f|
310|Младший научный сотрудник|309|479|5|||t|""|f|
311|Научный сотрудник|309|480|5|||t|""|f|
312|Старший научный сотрудник|309|481|5|||t|""|f|
313|Ведущий научный сотрудник|309|482|5|||t|""|f|
314|Главный научный сотрудник|309|483|5|||t|""|f|
315|Стажер-исследователь|309|484|4|||t|""|f|
316|Лаборант-исследователь|309|485|4|||t|""|f|
318|Заведующий учебным кабинетом|317|487||||t|""|f|
319|Старший лаборант|317|488||||t|""|f|
321|Старший препаратор|317|490||||t|""|f|
322|Рабочий кафедры|317|491||||t|""|f|
324|Диспетчер факультета|323|493|3|||t|""|f|
325|ИТ-специалист|323|494||||t|""|f|
326|Инженер|323|495|5|||t|""|f|
327|Инженер-программист|323|496|5|||t|""|f|
329|Специалист по учебно-методической работе |323|498|3|||t|""|f|
330|Учебный мастер|323|499|3|||t|""|f|
331|Бухгалтер|323|500|5|||t|""|f|
332|Специалист отдела кадров|323|501|5|||t|""|f|
333|Иные профессии рабочих|323|502||||t|""|f|
100009|Начальник технического отдела|100000||||f|t|""|f|
100010|Заведующий аптекой - провизор|100000||||f|t|""|f|
1000011|Заведующий складом|100000||||f|t|""|f|
